Job,Province,Min_Years,Max_Years,Min_Salary,Max_Salary
Human Resources & General Affair,Other,0,0,4500000,5000000
"Accounting, Finance, Banking",Sumatera,0,0,200000,1000000
Sales,Sumatera,0,0,2400000,2500000
Other,Sumatera,0,1,200000,1000000
Research & Development,Jakarta,0,0,200000,1000000
Sales,Jawa,0,0,2500000,3000000
Survey Respondent,Jawa,0,0,200000,1000000
Survey Respondent,Jawa,0,1,200000,1000000
Art & Design,Jakarta,0,0,200000,1000000
Journalistic and Entertainment,Jakarta,0,0,20000000,25000000
Research & Development,Jawa,0,0,2800000,3500000
"Accounting, Finance, Banking",Jawa,0,0,2000000,3000000
Consultant,Jawa,0,0,200000,1000000
Consultant,Kalimantan,0,0,8000000,9000000
Factory and Manufacturer,Jakarta,0,1,200000,1000000
Factory and Manufacturer,Sulawesi,0,0,200000,1000000
Consultant,Jawa,0,0,3000000,4650000
Consultant,Jawa,0,1,5000000,6000000
"Accounting, Finance, Banking",Jakarta,0,0,8000000,10000000
Human Resources & General Affair,Jakarta,0,1,5000000,20000000
Sales,Jakarta,0,0,200000,1000000
Factory and Manufacturer,Jawa,0,1,3000000,4200000
Other,Jakarta,0,1,5000000,6000000
Factory and Manufacturer,Sumatera,0,0,4600000,5000000
Sales,Jakarta,0,0,3250000,4200000
Hospitality & Travel,Jawa,0,0,200000,1000000
Marketing,Jakarta,0,0,2500000,3000000
Survey Respondent,Jawa,0,0,200000,1000000
Consultant,Jawa,0,0,200000,1000000
Survey Respondent,Jakarta,0,1,4600000,5000000
Survey Respondent,Jawa,0,1,4500000,5000000
Sales,Sulawesi,0,1,200000,1000000
Sales,Sumatera,0,0,3300000,4500000
Sales,Other,0,0,4000000,4500000
Other,Jakarta,0,1,2600000,4500000
Sales,Jakarta,0,0,6000000,10000000
Hospitality & Travel,Jakarta,0,0,4500000,6500000
Sales,Jakarta,0,0,4500000,6000000
Business,Jawa,0,0,4400000,4500000
Factory and Manufacturer,Kalimantan,0,1,5000000,20000000
Consultant,Jakarta,0,0,4000000,4600000
Consultant,Bali dan Nusa Tenggara,0,0,200000,1000000
Research & Development,Sumatera,0,0,4300000,8000000
Marketing,Jakarta,0,1,2400000,4500000
Art & Design,Jawa,0,1,4000000,6000000
Sales,Jawa,0,1,5000000,8000000
Other,Jawa,0,0,4850000,5000000
Factory and Manufacturer,Jakarta,0,0,4600000,5000000
Other,Jakarta,0,0,4600000,5000000
