Job_Title,City,Yrs_of_Exp,Salary
Community Development Officer (all Jawa Barat Area),Medan, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Sales Supervisor Medan,Yogyakarta, Kurang dari setahun,
Marketing and Public Relation (Internship),Batam, Kurang dari setahun, IDR 7.000.000 - 8.000.000
Embedded System Engineer  - Mechatronics or ECSE,"Kuningan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Freelance Host Talent (Bonus Sales),Jakarta, Kurang dari setahun,
Supplier Acquisition Horticulture - Semarang,Medan,, IDR 0 - 5.000.000
Inventory Staff - Semarang,Tangerang,,
Sales  Executive Palembang,Bandung, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Business Development Manager - Work From Home - Immediate Start,Surabaya, Kurang dari setahun, IDR 3.000.000 - 4.500.000
Internship Sekretaris Direktu,Serpong, Kurang dari setahun,
Graphic Designer,Batam, 1 – 3 tahun,
System Analyst,"Kuningan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 4.500.000
Account Manager,Jakarta, Kurang dari setahun,
Graphic Designer,Jakarta, Kurang dari setahun,
Secretary to Directors,Malang, Kurang dari setahun,
Motion Graphic Designer,Semarang, Kurang dari setahun,
Technical Recruiter,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Sales & Marketing,"Kebon Jeruk, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Paralegal,Jakarta, Kurang dari setahun,
Content Writer (Internship),Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Blockchain Developer,Solo, 3 – 5 tahun, IDR 5.000.000 - 15.000.000
KEPALA CABANG (ALL AREA INDONESIA),Makassar, 1 – 3 tahun, IDR 2.500.000 - 3.000.000
Product Engineer (Backend - Node.js),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Merchant Operation (Internship),"Kuningan, Jakarta", Kurang dari setahun,
WordPress Developer,Lamongan, Kurang dari setahun, IDR 4.300.000
English Teacher ,Bandung, Kurang dari setahun,
Operational and Admin Manager,Sidoarjo, Kurang dari setahun,
Teknisi Support,South Tangerang, Kurang dari setahun,
Human Resource Internship,Tangerang, 1 – 3 tahun,
IT Quality Control (Freelance) ,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Intensive Pairing Program,"Cengkareng, Jakarta", 1 – 3 tahun,
Content Writer Internship,South Tangerang, 3 – 5 tahun,
Kolektor ,"Cempaka Putih, Jakarta",,
Web Programmer,Cikarang, 5 – 10 tahun, IDR 10.000.000 - 15.000.000
Web Developer,Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
Sales Executive Property,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 4.500.000
Content Creator,Makassar, 1 – 3 tahun, IDR 4.500.000 - 10.000.000
Digital Advertiser / Digital Marketing,"Mampang Prapatan, Jakarta", 3 – 5 tahun,
Android Developer,"SCBD, Jakarta", Kurang dari setahun,
 Sales & Partnership ( Intern),"Gambir, Jakarta", 1 – 3 tahun,
MOBILE APPLICATION DEVELOPER,Semarang, 3 – 5 tahun, IDR 7.000.000 - 7.500.000
Quality Control Manager,, Kurang dari setahun, IDR 2.850.000 - 3.000.000
SCRUM MASTER,Kembangan, Kurang dari setahun,
SENIOR FRONTEND DEV,Jakarta,,
SALES MANAGER (Digital/ Creative Agency),"Kelapa Gading, Jakarta", 1 – 3 tahun,
PERSONAL ASSISTANT ,Jakarta, Kurang dari setahun, IDR 1.500.000 - 2.500.000
photo editor,Kuta, Kurang dari setahun,
Technical Sales HORECA,Jakarta, Kurang dari setahun,
Sales Engineer,Jakarta, 1 – 3 tahun, IDR 4.300.000 - 5.500.000
Web Developer,South Tangerang, Kurang dari setahun,
Business Development Executive,Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
Beauty Content & Creative Associate (Hybrid),Jakarta, Kurang dari setahun,
Ecommerce Marketing Specialist,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 12.000.000
Assistant Manager (Mandarin Speaking),Manado, 1 – 3 tahun, IDR 4.365.000
Account Manager Bandung,Surabaya, 1 – 3 tahun,
 AWS DevOps System Engineer - Remote (Work from home),, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Digital Strategist Manager,Malang, 3 – 5 tahun,
Sales Supervisor (B2B) Semarang,Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
IT Staff,Jakarta, 1 – 3 tahun,
IT Support,Bandar Lampung, 1 – 3 tahun, IDR 12.000.000 - 17.000.000
Sopir,Bandung, 3 – 5 tahun, IDR 5.000.000 - 29.000.000
Network Engineer,"Kelapa Gading, Jakarta",, IDR 600.000
Manager Sales,Jakarta,,
Backend Developer,Surabaya,,
Backend Developer (Project Based),Jakarta, 1 – 3 tahun,
Accountant,Jakarta, Kurang dari setahun,
Digital Literacy Teacher for Primary,Jakarta, 1 – 3 tahun,
Magang Digital Multimedia,Medan, Kurang dari setahun,
SENIOR PROGRAMMER,Jakarta,, IDR 4.500.000 - 6.000.000
Fullfilment,Depok,,
Teknisi,"Penjaringan, Jakarta", Kurang dari setahun, IDR 3.000.000
Cloud Engineer,Jakarta, 1 – 3 tahun,
Senior Wordpress Developer,Bandung, 1 – 3 tahun,
IT Technical Support,Bogor, 1 – 3 tahun,
Full Stack Engineer,Senayan, 3 – 5 tahun,
Digital Marketing,"Kuningan, Jakarta", Kurang dari setahun, IDR 750.000 - 1.000.000
UI/UX Engineer,"Cilandak, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
ONLINESTORE STAFF and BAKERS,Semarang, 1 – 3 tahun,
Junior/Middle Go Software Engineer,Jakarta, 1 – 3 tahun,
Business Development and Customer Success Associate,Jakarta, Kurang dari setahun,
IT Helpdesk and Governance,Tangerang, 3 – 5 tahun,
Front End Internship (Angular),Cimahi, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
"Senior Account executive (English CV only, No Fresh Graduate)",, 1 – 3 tahun,
STAFF GUDANG FASHION - KARAWACI TANGERANG,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
IT Network-Engineer,Jakarta, 1 – 3 tahun, IDR 5.500.000 - 6.500.000
UI/UX Designer Magang,Bandung, Kurang dari setahun,
Admin Sosial Media,Badung, Kurang dari setahun,
Intern Content Creator (WFO),Bandar Lampung, 1 – 3 tahun,Login to view estimated salary by Glints.
WE ARE HIRING MARKETING ONLINE,Jakarta, 1 – 3 tahun, IDR 7.000.000 - 15.000.000
Sales Lapangan (Kelapa Gading),Sidoarjo,,
Frontend Web Developer,Kemang, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Sales Support,Tangerang, 1 – 3 tahun,
Recruitment Advisor,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Admin Finance Staff,Tangerang, 1 – 3 tahun, IDR 4.000.000 - 7.000.000
Finance Executive - Penagihan (AR),, Kurang dari setahun,
HRD Internship,Jakarta, 5 – 10 tahun,
Junior Programmer (ETL),Bantul, Kurang dari setahun,
SALES ENGINEER for Logistic and Warehouse Product,Jakarta, Kurang dari setahun,
Budget Management Accounting (Cost Controller),Jakarta, Kurang dari setahun,
Site Support Maintenance (Hotel Engineering Staff),"Cengkareng, Jakarta", Kurang dari setahun,
iOS Developer,"Sunter, Jakarta", 1 – 3 tahun,
Accounting Staff,"Kuningan, Jakarta", 1 – 3 tahun,
Frond End  Developer ,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Back End Developer ,"Blok M, Jakarta", 1 – 3 tahun, IDR 2.500.000 - 3.000.000
Wordpress Developer,Pasuruan, 1 – 3 tahun, IDR 8.000.000 - 12.000.000
General Affair | Operasional Teknik,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 7.000.000
Marketing Staff,Jakarta, Kurang dari setahun, IDR 5.000.000 - 8.000.000
Account Officer - Jakarta,"Cilandak, Jakarta", 3 – 5 tahun,
Marketing Automation Manager (Location free),"Pulo Gadung, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
PHP Developer,Yogyakarta, 3 – 5 tahun, IDR 1.000.000 - 15.000.000
Marketing Internship,Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Community Program,Tangerang, 3 – 5 tahun, IDR 3.000.000
PHP Programmer,Tangerang, 1 – 3 tahun, IDR 4.000.000 - 5.500.000
PATTERN MAKER/POLA BAJU,, 1 – 3 tahun,
Japanese Restaurant Chef,Tangerang, 1 – 3 tahun, IDR 4.500.000 - 7.000.000
Digital Marketing Specialist,, Kurang dari setahun, IDR 2.000.000 - 3.000.000
Senior Backend Developer -  Medan,"Menteng, Jakarta", 1 – 3 tahun,
Front End Developer,Bogor, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Accounting,Medan, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Web Developer (Vue.JS/Nuxt.JS/React.JS/Angular.JS),Jakarta, 1 – 3 tahun, IDR 5.500.000 - 12.000.000
Talent Acquisition Associate,Jakarta, 1 – 3 tahun,
Junior Project Engineer Officer,, 1 – 3 tahun,
Digital Marketing - Technical Intern,"Penjaringan, Jakarta", 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Customer Relation Supervisor,Semarang, 1 – 3 tahun,
Senior English Speaking Marketing Executive,Semarang, 1 – 3 tahun, IDR 3.500.000 - 4.000.000
Accounts Receivable (FULL ENGLISH SPEAKING),Palembang, 1 – 3 tahun,
Programmer Java,Jakarta, 1 – 3 tahun, IDR 4.600.000
Social Media Specialist,Bekasi, 1 – 3 tahun, IDR 4.000.000
Flutter Developer,Jakarta, 1 – 3 tahun, IDR 1.000.000 - 12.000.000
Programmer Laravel Full Stack,Yogyakarta, Kurang dari setahun, IDR 5.000.000 - 7.000.000
IT Developer Manager,Jakarta, 3 – 5 tahun,
KSB Digital Marketing and Communication Intern,Jakarta, 1 – 3 tahun,
Human Resources Manager,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 5.000.000
Junior Telesales Marketing B2B,"Kemang, Jakarta", Kurang dari setahun,
Security Administrator,Jakarta, 3 – 5 tahun, IDR 5.000.000 - 7.000.000
System Operations Engineer,"Tanah Abang, Jakarta", Kurang dari setahun,
PHP Developer (LARAVEL),Jakarta, Kurang dari setahun,
Tech Lead,Malang, 1 – 3 tahun,
General Affair Officer,Jakarta, 1 – 3 tahun,
Account Officer - Bandung,Jakarta, 1 – 3 tahun,
Intern Quality Control (S1 Farmasi),Jakarta, 1 – 3 tahun, IDR 8.000.000 - 15.000.000
Human Resource,"Tanah Abang, Jakarta", 1 – 3 tahun,
Mandarin Speaker,, 1 – 3 tahun,
Learning and Development Intern,Malang, 1 – 3 tahun,
Public Relation,Surabaya, 1 – 3 tahun, IDR 7.000.000 - 14.000.000
Android Developer,Serpong, 1 – 3 tahun,
Industrial and Employee Relation Officer,Jakarta, 3 – 5 tahun, IDR 1 - 2
Frontliner (Retail Handphone),"Tanah Abang, Jakarta", Kurang dari setahun,
Python Developer,Bandung, 5 – 10 tahun, IDR 10.000.000 - 100.000.000
Social Media Content Creator,Yogyakarta, 1 – 3 tahun, IDR 3.000.000
Math Teacher,Jakarta, Kurang dari setahun,
Fullstack PHP Programmer,Medan, Kurang dari setahun,
Mobile Developer,Tangerang, Kurang dari setahun, IDR 2.000.000
Business Analyst,Bandung, Kurang dari setahun,
Business Development Lead,Bekasi, 1 – 3 tahun, IDR 3.500.000 - 4.500.000
Account Executive,Bogor,, IDR 3.000.000 - 4.500.000
Sales Support and Administration Assistant,Yogyakarta,,
Digital Marketing,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 6.000.000
SEO SEM Specialist,Jakarta, 1 – 3 tahun,
Backend Developer,Jakarta, 1 – 3 tahun,
Estimator Interior,Bogor, 1 – 3 tahun,
Finance and Accounting Staff,"Cengkareng, Jakarta", 1 – 3 tahun,
DATA ANALIS,Surabaya, Kurang dari setahun,
Accountant,Jakarta, Kurang dari setahun, IDR 4.800.000 - 6.000.000
Freelance Motion Graphic Editor ,"Kebon Jeruk, Jakarta", 3 – 5 tahun,Login to view estimated salary by Glints.
Scrum Master Intern,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 6.500.000 - 8.500.000
Enseval Coordinator Development Program (Accounting - Surabaya),Tangerang, 1 – 3 tahun,
Service Provider Engineer,"Grogol Petamburan, Jakarta", 3 – 5 tahun, IDR 10.000.000 - 24.000.000
Account Manager,"Cipayung, Jakarta", 1 – 3 tahun,
Copywriter,Jakarta, 1 – 3 tahun, IDR 9.000.000 - 12.000.000
Architect,Pamulang, 1 – 3 tahun, IDR 9.000.000 - 12.000.000
MARKETING DIGITAL,Kembangan, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
REAL ESTATE AGENT (PASTEUR),Mojokerto, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Operational Officer,Bandung, 1 – 3 tahun, IDR 3.900.000 - 4.200.000
React JS Developer ,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Creative Sales,Tangerang, 1 – 3 tahun, IDR 7.000.000 - 12.000.000
Sekertaris BOD,Semarang, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
URGENTLY NEEDED DIGITAL MARKETING SPECIALIST,Bekasi,,
QA Engineer,Tangerang, Kurang dari setahun,Login to view estimated salary by Glints.
Inventory Staff,Jakarta, 1 – 3 tahun, IDR 7.000.000 - 13.000.000
Accounting System Consultant,"Palmerah, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Social Media Specialist,Tangerang, 1 – 3 tahun, IDR 8.000.000 - 10.000.000
Senior Business Analyst,"Pasar Minggu, Jakarta", Kurang dari setahun,
Bootcamp Online Flutter,Bandung, 3 – 5 tahun, IDR 5.000.000 - 20.000.000
Tech Recruiter Internship (Commission Based),"Kuningan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Social Media Specialist ,South Tangerang, 1 – 3 tahun, IDR 2.000.000 - 3.500.000
Frontend Engineer (React.js),Yogyakarta, 3 – 5 tahun, IDR 10.000.000 - 13.000.000
Accounting Staff,"Pondok Indah, Jakarta",,
Web Programmer,Tangerang, Kurang dari setahun,
Video Editor,Jakarta, Kurang dari setahun, IDR 1.000.000
Marketing Coordinator,Surabaya, 3 – 5 tahun, IDR 4.000.000 - 4.500.000
Customer Service After-Sales Zapplerepair (Non-remote/WFO),Surabaya,, IDR 4.000.000 - 5.000.000
Buyer Fresh Food (penempatan Bogor),Bandung,,
Flutter Engineer,"Antasari, Jakarta", 1 – 3 tahun, IDR 7.000.000
IT System Security Engineer ,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 6.500.000
Technical Writer,Tangerang, 1 – 3 tahun,
Javascript Developer,"Cengkareng, Jakarta", 1 – 3 tahun,
Engineering and Technology - Sea Labs - Junior Engineer,"Kuningan, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Full stack Programmer,Jakarta, 3 – 5 tahun,
Multimedia Video Editor / Designer,Jakarta, Kurang dari setahun,
Bootcamp Junior Programmer,Jakarta, 3 – 5 tahun, IDR 6.000.000 - 8.000.000
CAD Drafter Engineer (FULL ENGLISH SPEAKING) ,Jakarta, Kurang dari setahun,
Field Mentor,Tangerang, 1 – 3 tahun, SGD 420 - 1.000
Data Scientist,"Kelapa Gading, Jakarta", 1 – 3 tahun,
SALES GYM BLOK M SQUARE,"Kelapa Gading, Jakarta", 1 – 3 tahun,
SALES GYM MANGGA DUA SQUARE,Jakarta, 3 – 5 tahun, IDR 20.000.000
Data Scientist,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Sales Manager,"Penjaringan, Jakarta", 1 – 3 tahun,
Backend Developer,"Kelapa Gading, Jakarta", Kurang dari setahun,
Application Designer,,,
JUNIOR ARTIST,Yogyakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Project Administration & Finance,Jakarta, Kurang dari setahun,
Design Grafis,"Kuningan, Jakarta",,
Branch Manager (Bali),Tangerang, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Branch Manager (Palembang),"Pesanggrahan, Jakarta", 1 – 3 tahun,
(Korean Speaker) InfoSec Digital Marketing,Depok, 1 – 3 tahun,
Casual Leasing Officer,Jakarta, 1 – 3 tahun, IDR 7.000.000 - 10.000.000
SALES MANAGER,Jakarta, Kurang dari setahun, IDR 1.500.000 - 2.000.000
Account Executive,"Mampang Prapatan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 11.000.000
HR Recruiter ,Batu, 1 – 3 tahun,
Remote work-English/Mandarin Interpreter cum Customer Service,Jakarta, 3 – 5 tahun, IDR 6.500.000 - 7.000.000
 Grafik Designer,Surabaya, 1 – 3 tahun,
Zoho CRM Creator,Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Social Media Specialist,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Laravel Programmer,Bandung, 5 – 10 tahun, IDR 10.000.000 - 19.000.000
Digital Advertiser,"Grogol Petamburan, Jakarta", Kurang dari setahun, IDR 3.000.000 - 6.000.000
IT Data Engineer,Tangerang, 3 – 5 tahun,Login to view estimated salary by Glints.
Electrical Engineer,"Setiabudi, Jakarta", 3 – 5 tahun, IDR 6.000.000 - 60.000.100
Junior Business Development Manager - Digital Marketing,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Intern E-commerce (WFH),Jakarta, Kurang dari setahun,
Internship Program,Jakarta, Kurang dari setahun,
Business Development Associate,, 3 – 5 tahun, USD 1.300
React Native Developer,Jakarta, 3 – 5 tahun,
Sales Person (Event) ,Jakarta, Kurang dari setahun,
 Content Creator Internship,Jakarta, Kurang dari setahun,
Junior Telesales B2B,Medan, Kurang dari setahun,
IT Infrastructure,Surabaya, 3 – 5 tahun, IDR 7.000.000 - 10.000.000
Marketing Supervisor,Medan, 1 – 3 tahun,
Marketing Communication,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Senior Curriculum & Content Developer,Yogyakarta,, IDR 2.500.000 - 5.000.000
SOSIAL MEDIA SPESIALIS,"Pesanggrahan, Jakarta",,
WAREHOUSE AND LOGISTICS LEAD PURWOKERTO,Jakarta, Kurang dari setahun,
Supervisor HRD,, Kurang dari setahun,
Senior Influencer Marketing,Jakarta, 1 – 3 tahun, IDR 4.600.000 - 6.000.000
Android Frontend Developer,Jakarta, 1 – 3 tahun, IDR 3.000.000 - 4.000.000
Digital Marketing,Bandung, 3 – 5 tahun,
Product Associate ,Surabaya, 3 – 5 tahun, IDR 3.500.000 - 4.500.000
Credit Marketing Officer,, 3 – 5 tahun, IDR 5.000.000 - 14.000.000
Sales Promotion Reguler-URGENT,Jakarta, 1 – 3 tahun,
Desain Interior (Serpong),"Kuningan, Jakarta", Kurang dari setahun, IDR 2.500.000 - 5.000.000
TikTok Creator Internship,Depok, 1 – 3 tahun, IDR 4.000.000
Marketing Strategist & Planning,Yogyakarta, 5 – 10 tahun, IDR 9.000.000 - 15.000.000
Middle to Senior React Native Full Remote,"Cengkareng, Jakarta", Kurang dari setahun,
Messenger,"Cengkareng, Jakarta", Kurang dari setahun,
Farm Operations Manager - Malang,Jakarta, Kurang dari setahun,
Digital Marketing Specialist,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 8.000.000
IT Fresh Graduated,Jakarta, 1 – 3 tahun,
Account Executive Enterprise,Batam, Kurang dari setahun,
Marketing Executor,Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
Content Creator - Social Media Specialist,Tangerang, 3 – 5 tahun, IDR 3.000.000 - 4.000.000
Tiktok Content Creator,"Penjaringan, Jakarta", Kurang dari setahun, IDR 3.500.000 - 4.100.000
Purchasing Staff,"Tanah Abang, Jakarta", 3 – 5 tahun, IDR 5.000.000 - 6.500.000
WFH Customer Support cum English-Mandarin Interpreter/Translator,Bandung, 1 – 3 tahun,
Junior Software Tester,"Gambir, Jakarta", 3 – 5 tahun, IDR 20.000.000 - 40.000.000
Branch Management Associate (West/Central Java),Yogyakarta, Kurang dari setahun,
Pramuniaga,, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Accounting,Jakarta, Kurang dari setahun,Login to view estimated salary by Glints.
L1 Analyst Internship (SOC),Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Senior PHP Developer,Jakarta, 1 – 3 tahun, IDR 5.000.000
Employer Success Intern (Inbound Team),,, IDR 2.500.000 - 5.000.000
PostgreSQL/Enterprise DB Database Administrator,Bandung,,
Mobile Developer,"Kebayoran Baru, Jakarta", 1 – 3 tahun, IDR 6.500.000 - 8.000.000
Digital Marketing,Tangerang, 1 – 3 tahun, IDR 5.500.000
Admin E-commerce and Marketplace,Jakarta, 1 – 3 tahun, IDR 2.500.000 - 4.000.000
Stock Controller Supervisor,Bantul, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Business Development Officer,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Account Manager & Business Development,Tangerang, 1 – 3 tahun,
KOL Specialist,"Kebayoran Lama, Jakarta", 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Junior Advisory Analytics Consultant,"Grogol Petamburan, Jakarta", 1 – 3 tahun,
UI/UX Designer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Account Manager,"Pasar Minggu, Jakarta", Kurang dari setahun,
"Sales (Canvasser, Direct Selling)",Badung, 1 – 3 tahun, IDR 2.900.000 - 5.500.000
Backend Engineer (Full Time),Malang, 1 – 3 tahun, IDR 4.500.000
Angular Developer - Insurance,"Cilandak, Jakarta", 1 – 3 tahun,
Backend Developer,Jakarta, 1 – 3 tahun,
Sales Executive,"Palmerah, Jakarta", Kurang dari setahun, IDR 5.000.000 - 6.500.000
Accounting Specialist,Surabaya, 1 – 3 tahun,
Content Writer,Bandung, 3 – 5 tahun,Login to view estimated salary by Glints.
Front End Developer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Business Development Officer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Purchasing,Jakarta, Kurang dari setahun, IDR 17.000.000
SEO Content Writer (Intern),Surabaya, Kurang dari setahun, IDR 2.000.000
SEO Specialist (Intern),"Kuningan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Business Development Intern,"Tebet, Jakarta", Kurang dari setahun,
Programmer,Kemang, 1 – 3 tahun, IDR 2.700.000 - 3.300.000
Accounting Supervisor (Bandung),Surabaya, 1 – 3 tahun, IDR 2.500.000 - 3.500.000
Marketing - Campaign & Digital Performance,Tangerang, 1 – 3 tahun, IDR 8 - 10
Marketing Communications,, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Field Sales - Semarang,Bandung, 1 – 3 tahun,Login to view estimated salary by Glints.
Mobile Developer,Surabaya, Kurang dari setahun,
SALES ACQUISITION MERCHANT,"Kebayoran Lama, Jakarta", Kurang dari setahun,
Project Coordinator and Learning Specialist (Bandung),Surabaya, Kurang dari setahun,
Marketing,Jakarta, 3 – 5 tahun, IDR 7.000.000 - 10.000.000
Fashion Designer,"Penjaringan, Jakarta", Kurang dari setahun, IDR 2.400.000
IT Development Program (batch 2),Tangerang, Kurang dari setahun,
Quality Assurance (QA) Engineer,Semarang, Kurang dari setahun,
Senior Front-End Engineer,Semarang, 1 – 3 tahun,
Teknisi Pemasangan Lift,"Pasar Rebo, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 4.500.000
Senior Accounting,"Grogol Petamburan, Jakarta", 3 – 5 tahun,
